"ID";"Latitude";"Insolacao";"Longitude";"Estado";"Cidade";"Estacao";"Verao";"AnoNasc";"Idade";"Sexo";"Coleta";"HO";"p01";"p02";"p03";"p04";"p05";"p06";"p07";"p08";"p09";"p10";"p11";"p12";"p13";"p14";"p15";"p16";"p17";"p18";"p19"
"1";-1,06;409;-46,77;"PA";"Braganca , PA";"out";"Nao";1981;26;"masculino";2006-08-01;49;"3";"2";"2";"3";"2";"3";"3";"4";"4";"2";"6";"0";"2";"2";"2";"2";"3";"4";"0"
"2";-1,06;409;-46,77;"PA";"Braganca, PA";"out";"Nao";1981;26;"masculino";2006-08-01;49;"3";"2";"2";"3";"2";"3";"3";"4";"4";"2";"6";"0";"2";"2";"2";"2";"3";"4";"0"
"3";-1,29;434;-47,92;"PA";"Castanhal, PA";"prim";"Nao";1983;24;"masculino";2006-10-01;46;"3";"3";"2";"2";"3";"3";"3";"1";"4";"3";"2";"2";"1";"4";"1";"3";"1";"3";"2"
"4";-1,29;434;-47,92;"PA";"Castanhal, PA";"prim";"Nao";1978;29;"feminino";2006-10-01;61;"3";"5";"1";"4";"4";"1";"3";"2";"2";"5";"4";"3";"1";"3";"3";"4";"3";"4";"6"
"5";-1,29;434;-47,92;"PA";"Castanhal, PA";"prim";"Nao";1973;34;"feminino";2006-10-01;49;"4";"3";"2";"2";"2";"2";"1";"2";"1";"4";"6";"3";"2";"1";"1";"3";"3";"3";"4"
"6";-1,36;429;-48,37;"PA";"Ananindeua, PA";"out";"Nao";1987;20;"masculino";2006-09-01;34;"1";"1";"2";"3";"2";"3";"2";"2";"1";"1";"4";"2";"1";"2";"1";"1";"2";"3";"0"
"7";-1,36;429;-48,37;"PA";"Ananindeua, PA";"out";"Nao";1983;24;"masculino";2006-09-01;36;"2";"2";"1";"1";"1";"1";"2";"2";"2";"2";"4";"0";"1";"2";"2";"1";"2";"2";"6"
"8";-1,36;429;-48,37;"PA";"Ananindeua, PA";"out";"Nao";1982;25;"feminino";2006-09-01;48;"4";"3";"2";"1";"3";"2";"2";"2";"2";"5";"0";"3";"3";"3";"1";"2";"2";"4";"4"
"9";-1,36;434;-48,37;"PA";"Ananindeua, PA";"prim";"Nao";1985;22;"feminino";2006-10-01;40;"3";"3";"1";"1";"1";"1";"1";"2";"3";"3";"0";"3";"3";"3";"1";"4";"3";"2";"2"
"10";-1,36;434;-48,37;"PA";"Ananindeua, PA";"prim";"Nao";1988;19;"feminino";2006-10-01;37;"3";"3";"1";"1";"2";"1";"1";"3";"1";"4";"0";"3";"1";"4";"2";"1";"2";"2";"2"
"11";-1,36;437;-48,24;"PA";"Benevides, PA";"ver";"Nao";1978;29;"feminino";2005-02-01;56;"3";"3";"1";"4";"4";"4";"4";"2";"2";"2";"6";"3";"3";"3";"3";"3";"1";"3";"2"
